,id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
26040,712795713817372750,Brooklyn,Prospect-Lefferts Gardens,Private room,89.0,30,47
26041,6256470,Bronx,Mount Hope,Entire home/apt,125.0,30,119
26042,26682755,Queens,Flushing,Entire home/apt,159.0,30,157
26043,46601386,Queens,Forest Hills,Private room,131.0,2,187
26044,476983,Manhattan,Harlem,Private room,43.0,30,661
26045,808188195062982853,Brooklyn,Canarsie,Shared room,250.0,30,44
26046,1111814726067302895,Brooklyn,Sheepshead Bay,Private room,72.0,30,0
26047,771962449581256963,Manhattan,Washington Heights,Private room,60.0,30,29
26048,921446158593950278,Queens,Elmhurst,Entire home/apt,346.0,30,0
26049,921583804334125486,Queens,Elmhurst,Entire home/apt,336.0,30,0
26050,48227990,Brooklyn,Greenpoint,Entire home/apt,191.0,30,0
26051,1011405381089614284,Manhattan,East Harlem,Private room,39.0,30,2
26052,895829139047810776,Manhattan,Harlem,Private room,63.0,30,5
26053,793771032739364362,Brooklyn,Bedford-Stuyvesant,Private room,69.0,30,5
26054,17396669,Brooklyn,Crown Heights,Private room,64.0,30,58
26055,29008767,Brooklyn,Fort Greene,Entire home/apt,142.0,30,49
26056,16417951,Brooklyn,Crown Heights,Private room,67.0,30,127
26057,1015843750576959483,Brooklyn,Bushwick,Private room,66.0,30,0
26058,43251517,Brooklyn,Gowanus,Private room,53.0,30,3
26059,98663,Manhattan,Chelsea,Entire home/apt,150.0,30,18
26060,60611,Manhattan,East Harlem,Entire home/apt,110.0,30,196
26061,633492364636824182,Brooklyn,Crown Heights,Entire home/apt,150.0,30,5
26062,1207860637535148946,Brooklyn,Greenpoint,Private room,325.0,2,0
26063,986727,Manhattan,Harlem,Private room,165.0,30,416
26064,46212643,Brooklyn,East Flatbush,Entire home/apt,300.0,30,35
26065,43251356,Brooklyn,Gowanus,Private room,52.0,30,1
26066,835084945814496465,Brooklyn,South Slope,Entire home/apt,164.0,30,0
26067,1018143409510321723,Brooklyn,Park Slope,Entire home/apt,203.0,30,0
26068,979047140389966042,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,0
26069,1233319156706823895,Brooklyn,Crown Heights,Private room,58.0,30,0
26070,20999025,Brooklyn,Bushwick,Private room,100.0,3,226
26071,32926070,Manhattan,Hell's Kitchen,Entire home/apt,424.0,31,0
26072,5592990,Manhattan,Morningside Heights,Entire home/apt,185.0,30,0
26073,1033917283828287582,Manhattan,Upper West Side,Entire home/apt,311.0,31,0
26074,529157103042604647,Brooklyn,East Flatbush,Private room,139.0,1,7
26075,1212582611903151441,Manhattan,Upper East Side,Private room,137.0,30,0
26076,1095750796260734534,Brooklyn,East Flatbush,Entire home/apt,155.0,1,21
26077,824811980486472568,Manhattan,Upper East Side,Entire home/apt,128.0,30,2
26078,578233382580796409,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,0
26079,1175393719848631498,Queens,Long Island City,Entire home/apt,280.0,30,0
26080,9576812,Manhattan,Harlem,Entire home/apt,258.0,180,85
26081,669640,Brooklyn,Park Slope,Private room,68.0,30,20
26082,35026161,Manhattan,Upper West Side,Entire home/apt,210.0,30,16
26083,9182008,Queens,Ditmars Steinway,Entire home/apt,159.0,30,50
26084,669975220433811036,Manhattan,Upper West Side,Entire home/apt,427.0,31,1
26085,12806356,Queens,Long Island City,Entire home/apt,200.0,30,28
26086,52122884,Manhattan,East Harlem,Private room,80.0,30,0
26087,34123251,Brooklyn,Gowanus,Entire home/apt,107.0,30,106
26089,1214487278089765906,Manhattan,Upper West Side,Entire home/apt,513.0,30,0
26090,648626938629605757,Brooklyn,South Slope,Entire home/apt,198.0,90,0
26091,52675191,Brooklyn,Williamsburg,Private room,150.0,30,81
26092,45930596,Manhattan,East Harlem,Entire home/apt,110.0,30,7
26094,13153265,Brooklyn,Park Slope,Entire home/apt,200.0,180,175
26095,1106666179961470072,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,2
26096,578288348952271368,Brooklyn,Bedford-Stuyvesant,Private room,44.0,30,0
26097,987157188477759486,Brooklyn,Gowanus,Entire home/apt,395.0,3,43
26098,678968165461368245,Manhattan,Upper West Side,Entire home/apt,135.0,30,1
26102,1010698510084140429,Manhattan,Hell's Kitchen,Entire home/apt,109.0,30,1
26104,46542773,Manhattan,Upper East Side,Entire home/apt,216.0,30,2
26105,1206574535966326192,Manhattan,Upper East Side,Entire home/apt,295.0,30,0
26106,47052682,Manhattan,Chelsea,Entire home/apt,366.0,30,1
26107,3626426,Manhattan,Upper East Side,Entire home/apt,120.0,30,10
26109,923184176938855691,Manhattan,Greenwich Village,Entire home/apt,995.0,1,3
26110,44496053,Brooklyn,Windsor Terrace,Private room,380.0,2,85
26111,1115903542547996840,Manhattan,Hell's Kitchen,Entire home/apt,602.0,31,0
26112,50361433,Manhattan,Harlem,Entire home/apt,137.0,30,69
26115,631893185455656817,Manhattan,Harlem,Entire home/apt,109.0,30,3
26116,47906957,Brooklyn,Brownsville,Entire home/apt,138.0,1,317
